place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,brand
ChIJESq3sKIypg0R8j-z_afDMcI,Afriquia INARA,"Avenue 2 Mars, Casablanca",33.54180989999999,-7.6012024,2.3,10.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJ3T3EUp8zpg0R6Q12q37yMwk,station-service SHELL,"R315 Av Lalla Fatima Zaroual, الدار البيضاء",33.53261069999999,-7.576259499999999,3.7,9.0,OPERATIONAL,"gas_station, convenience_store, food, point_of_interest, store, establishment",Shell
ChIJq_McnlUzpg0Rh19v09m_DQ8,TotalEnergies GARAGE ES SAADA,"Industrielle, Rue Ecole, Casablanca",33.5464661,-7.5912395,3.8,10.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJRYfoysMypg0RKEZ3T9PxQNQ,Station Ola,"GCV8+WQG, Boulevard Mohammed VI, Casablanca",33.5448177,-7.583046899999999,3.7,15.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJ27rut-Uzpg0R0HF3GUe-QC4,OLA ENERGY SIDI OTHMANE,"Km 6,7 Route de Marrakech, Casablanca",33.546023,-7.583992,5.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJO4VuzBYzpg0RErltmasG91I,Station Petrom salmia 2,"Boulevard Al Joulane, Casablanca",33.5384026,-7.553540900000002,3.3,62.0,CLOSED_TEMPORARILY,"gas_station, point_of_interest, establishment",Petrom
ChIJj23c50Mzpg0RFLLPveRwwQE,Petrom R135,"GCGM+WXF, Casablanca",33.5273004,-7.565062600000002,,,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJI5-h2r4zpg0Rw0wsJlq2Ysc,Afriquia MARJANE SIDI OTHMANE,"Centre Commercial Marjane, Avenue du 10 Mars 1982, Dar-el-Beida",33.5470942,-7.5475352,3.3,7.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJ89dnYDkzpg0RR3HL-abwK_c,Afriquia MARCHE DE GROS,"Abdelkader Essahraoui, Avenue du 10 Mars 1982, Casablanca",33.5509059,-7.551623699999999,3.5,158.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJDZ1pHnszpg0RzgVyIXH06EQ,Station Service Petromin Oils,"GFJ8+VWJ, Nouvelle Lahraouine",33.5322221,-7.532738599999998,3.9,61.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petromin
ChIJ70nYczw1pg0RxSNODSokBdQ,Afriquia JNANE MADYOUNA,"P3016 Lotissement Jnane Madyouna, Casablanca, Nouvelle Lahraouine",33.5310148,-7.5098526,5.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJuTgEDIA1pg0RFj-rhG8DdZk,Station Total énergie,"Zone Industrielle Tit Mellil, N9, Tit Mellil",33.5333874,-7.4939255,4.1,15.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJYUuec7E1pg0RVnZaKMJ5t_I,Station Service Petrom,"GGH4+78V, Tit Mellil",33.5282381,-7.494205999999999,4.3,7.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJzduaNEvTpw0RLHhOnhJhBoU,TotalEnergies OUM ERRABII,"Boulevard Oued Oum Rabia, Casablanca",33.5583422,-7.680231199999999,3.4,267.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJgxRIxq0spg0RJcNiltqcrEw,OLA ENERGY OULFA,"Ain chok, El Alia 3, Casablanca",33.553296,-7.689182000000002,3.7,91.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJRUJENqwspg0R9Fncd0ehgAE,Station Service Winxo,"H835+9M5, Route, Casablanca",33.553378,-7.690762599999999,3.6,159.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Winxo
ChIJfZjS5ozTpw0RaP-O_hRCl48,Afriquia MARJANE HAY HASSANI,"Boulevard Oued Laou, Casablanca",33.5667,-7.6768,1.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJaeel1UnTpw0RhguEa6AriC8,Station Service Afriquia,"Boulevard Oued Laou, Casablanca",33.5667,-7.6768,3.1,82.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJMVPkCkbTpw0RFfecDV1tOH4,Station Service Ola Energy,"H8C9+674, Rue Sidi Al Khadir, Casablanca",33.5705206,-7.681804999999999,3.6,30.0,CLOSED_TEMPORARILY,"gas_station, point_of_interest, establishment",Ola Energy
ChIJC0NwVLAtpg0RJmfDGNLaBTI,Station shell,"Route Moulay Thami, الدار البيضاء",33.5506421,-7.6956259,4.0,45.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJUfDFQS0tpg0RoGa5muvInqU,Afriquia OASIS,"1 Route d'El Jadida, Casablanca",33.5589589,-7.645014599999998,3.6,657.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJn_XcY-4ypg0R3ywd3Ed30OM,Station Shell Des Stades (Ahmed Kessab),"400 Route El Jadida, Casablanca",33.5583749,-7.6449509,4.5,11.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJIS1k4Cstpg0RgcYyj1L4CsM,Station Service Shell,"Route d'El Jadida, Casablanca",33.558295,-7.644906900000001,3.9,70.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
